location_name,lat,lon,area_cluster,is_beach,is_crowded,is_tourist_place,is_transit,hour,day_night,day_of_week,is_weekend,police_nearby,risk_harassment,risk_pickpocket,risk_scam,risk_bag_snatching,risk_theft,risk_extortion,risk_money_theft
Galle Fort,6.03145,80.218669,3,0,1,1,0,12,day,1,0,1,Low,Low,Medium,Low,Low,Low,Low
Kollupitiya,6.920882,79.855266,1,0,1,1,0,19,night,3,0,0,Low,High,Low,Medium,Low,Low,Medium
Ella Station,6.869875,81.040824,8,0,1,1,1,11,day,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Unawatuna Beach,6.016694,80.249806,4,1,1,1,0,4,night,5,1,0,High,Low,Low,Low,High,Medium,Low
Ella Station,6.866363,81.045437,8,0,1,1,1,17,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.292516,80.632133,2,0,1,0,1,13,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Mirissa Beach,5.944431,80.454033,4,1,1,1,0,2,night,2,0,1,Medium,Low,Low,Low,Low,Low,Low
Bandarawela Railway Station,6.827204,80.987489,18,0,1,0,1,6,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Dambulla Cave,7.854748,80.646839,10,0,1,1,0,8,day,2,0,0,Low,Low,High,Low,Low,Low,Low
Kandy Station,7.293046,80.632507,2,0,1,0,1,11,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Hikkaduwa Beach,6.141098,80.105554,4,1,1,1,0,13,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.843819,79.863569,9,1,1,1,1,9,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Temple of Tooth,7.29406,80.640633,2,0,1,1,0,13,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Negombo Beach,7.209983,79.834537,5,1,1,1,0,15,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.850586,80.645276,10,0,1,1,0,12,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Temple of Tooth,7.293855,80.646129,2,0,1,1,0,8,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Bandarawela Railway Station,6.833298,80.992612,18,0,1,0,1,19,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort Market,6.029115,80.215267,3,0,1,1,0,16,day,6,1,0,Low,High,Medium,High,Low,Low,High
Galle Fort Market,6.032013,80.21517,3,0,1,1,0,6,day,6,1,0,Low,High,Low,Low,Low,Low,High
Hikkaduwa Beach,6.143071,80.100534,4,1,1,1,0,16,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Sigiriya,7.951564,80.764188,10,0,1,1,0,12,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Ahungalla Beach,6.32754,80.019724,4,1,1,1,0,12,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kaluthara Beach,6.583029,79.962114,4,1,1,1,0,13,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy City Centre,7.29868,80.636266,2,0,1,1,0,20,night,6,1,0,Low,High,Low,Medium,Low,Low,High
Mount Lavinia Station,6.837831,79.864923,9,1,1,1,1,22,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Sigiriya,7.957067,80.762983,10,0,1,1,0,14,day,3,0,0,Low,Medium,High,Low,Low,Low,Low
Hikkaduwa Beach,6.137764,80.098335,4,1,1,1,0,13,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort Market,6.02503,80.212815,3,0,1,1,0,16,day,3,0,0,Low,High,Low,High,Low,Low,High
Nilaveli Beach,8.705547,81.18668,6,1,0,1,0,1,night,5,1,0,Medium,Low,Low,Low,Low,Low,Low
Colombo Fort Station,6.94072,79.850178,1,0,1,0,1,5,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Colombo Fort Station,6.933594,79.849567,1,0,1,0,1,8,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Ella Station,6.865126,81.047568,8,0,1,1,1,15,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort Market,6.030679,80.215771,3,0,1,1,0,1,night,0,0,0,Low,Low,Low,Low,Medium,Low,Low
Pettah Market,6.940478,79.850047,1,0,1,1,0,11,day,6,1,0,Low,High,Low,Low,Low,Low,High
Galkissa Beach,6.83613,79.867118,9,1,1,1,0,14,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.839165,79.866497,9,1,1,1,1,19,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.293823,80.629869,2,0,1,0,1,14,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Pettah Station,6.937881,79.852665,1,0,1,0,1,2,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Haputale Railway Station,6.769787,80.968118,19,0,1,1,1,8,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Kaluthara Beach,6.586168,79.963648,4,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kandy Station,7.287377,80.631161,2,0,1,0,1,12,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Pettah Market,6.941053,79.851623,1,0,1,1,0,6,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Ella Station,6.86818,81.046655,8,0,1,1,1,16,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Dambulla Cave,7.854973,80.648666,10,0,1,1,0,12,day,4,0,0,Low,Medium,High,Low,Low,Low,Low
Ahangama Beach,5.973495,80.368612,4,1,1,1,0,15,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Pettah Station,6.941623,79.853313,1,0,1,0,1,17,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.946581,80.460345,4,1,1,1,0,19,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Haputale Railway Station,6.765397,80.965772,19,0,1,1,1,6,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Pettah Market,6.943841,79.85439,1,0,1,1,0,10,day,5,1,0,Low,High,Low,Low,Low,Low,High
Galle Fort,6.029788,80.214497,3,0,1,1,0,4,night,0,0,0,Low,Medium,Low,Low,Low,Low,Low
Dambulla Cave,7.859653,80.647658,10,0,1,1,0,21,night,3,0,0,Low,Medium,Low,Low,Low,Low,Low
Polonnaruwa,7.938388,81.022367,11,0,1,1,0,5,night,6,1,0,Low,Low,High,Low,Low,Low,Low
Colombo Fort Station,6.931343,79.851899,1,0,1,0,1,8,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.947558,80.459303,4,1,1,1,0,15,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Ella Station,6.866601,81.051484,8,0,1,1,1,6,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.948472,80.461626,4,1,1,1,0,18,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Mount Lavinia Station,6.843261,79.866822,9,1,1,1,1,15,day,5,1,0,Low,Medium,Low,High,Low,Low,Medium
Sigiriya,7.961046,80.761646,10,0,1,1,0,7,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Sigiriya,7.956399,80.76014,10,0,1,1,0,10,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Kandy City Centre,7.294473,80.637939,2,0,1,1,0,14,day,2,0,0,Low,High,Low,High,Low,Low,High
Pettah Market,6.940248,79.858532,1,0,1,1,0,21,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Kandy Station,7.294724,80.63556,2,0,1,0,1,6,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.955561,80.760282,10,0,1,1,0,9,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Colombo Fort Station,6.937697,79.849803,1,0,1,0,1,15,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kandy City Centre,7.289556,80.631204,2,0,1,1,0,7,day,5,1,0,Low,High,Low,Low,Low,Low,High
Kuruduwaththa Station,6.916936,79.872125,1,0,1,0,1,6,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.028959,80.219417,3,0,1,1,0,21,night,1,0,0,Low,Medium,Low,Low,Low,Low,Low
Kuruduwaththa Station,6.915423,79.867924,1,0,1,0,1,22,night,3,0,0,Low,Low,Low,Low,Medium,Low,Low
Mount Lavinia Station,6.838771,79.870703,9,1,1,1,1,8,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Haputale Railway Station,6.767084,80.964657,19,0,1,1,1,9,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Unawatuna Beach,6.009443,80.242428,4,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Hatton Railway Station,6.888799,80.597357,17,0,1,1,1,9,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Mirissa Beach,5.946689,80.454825,4,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort Market,6.028237,80.216781,3,0,1,1,0,10,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Pasikuda Beach,7.932558,81.547954,6,1,0,1,0,3,night,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy City Centre,7.290895,80.636957,2,0,1,1,0,13,day,5,1,0,Low,High,Medium,High,Low,Low,High
Bentota Beach,6.430198,79.998474,4,1,1,1,0,3,night,6,1,0,High,Low,Low,Low,High,Medium,Low
Ahangama Beach,5.977552,80.363893,4,1,1,1,0,12,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ahangama Beach,5.971646,80.361848,4,1,1,1,0,19,night,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Hikkaduwa Beach,6.142369,80.101579,4,1,1,1,0,15,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy Station,7.298083,80.636309,2,0,1,0,1,8,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Haputale Railway Station,6.766814,80.96706,19,0,1,1,1,8,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.293573,80.638141,2,0,1,0,1,11,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Hatton Railway Station,6.89613,80.60164,17,0,1,1,1,16,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Bandarawela Railway Station,6.832882,80.986582,18,0,1,0,1,8,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Mount Lavinia Station,6.840723,79.868818,9,1,1,1,1,9,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Sigiriya,7.959215,80.751154,10,0,1,1,0,10,day,4,0,0,Low,Low,High,Low,Low,Low,Low
Hikkaduwa Beach,6.139713,80.099941,4,1,1,1,0,22,night,2,0,0,High,Low,Low,Low,High,Medium,Low
Bandarawela Railway Station,6.827516,80.989282,18,0,1,0,1,17,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.032659,80.218231,3,0,1,1,0,9,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Temple of Tooth,7.29403,80.637251,2,0,1,1,0,10,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Colombo Fort Station,6.931954,79.848952,1,0,1,0,1,4,night,5,1,0,Low,Low,Low,Medium,Medium,Low,Low
Galle Fort,6.035891,80.217516,3,0,1,1,0,8,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Unawatuna Beach,6.013549,80.250739,4,1,1,1,0,12,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.862965,80.647881,10,0,1,1,0,7,day,0,0,1,Low,Low,Medium,Low,Low,Low,Low
Galle Fort,6.036125,80.21368,3,0,1,1,0,8,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.764829,80.972442,19,0,1,1,1,19,night,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Kaluthara Beach,6.59261,79.960527,4,1,1,1,0,19,night,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Hatton Railway Station,6.895017,80.601061,17,0,1,1,1,8,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.8457,79.861861,9,1,1,1,1,6,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Colombo Fort Station,6.937841,79.851361,1,0,1,0,1,19,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Unawatuna Beach,6.009907,80.253827,4,1,1,1,0,18,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Sigiriya,7.956381,80.759747,10,0,1,1,0,10,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Kandy City Centre,7.298826,80.640829,2,0,1,1,0,14,day,3,0,1,Low,Medium,Low,Low,Low,Low,Medium
Temple of Tooth,7.291538,80.640258,2,0,1,1,0,12,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Galle Fort,6.035555,80.212088,3,0,1,1,0,16,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Galkissa Beach,6.841116,79.861298,9,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Kaluthara Beach,6.586072,79.964792,4,1,1,1,0,4,night,5,1,0,High,Low,Low,Low,High,Medium,Low
Hikkaduwa Beach,6.139915,80.107043,4,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort Market,6.027228,80.212591,3,0,1,1,0,14,day,4,0,0,Low,High,Low,High,Low,Low,High
Pettah Market,6.939602,79.85149,1,0,1,1,0,5,night,5,1,0,Low,High,Low,Low,Low,Low,High
Polonnaruwa,7.941001,81.014132,11,0,1,1,0,19,night,5,1,0,Low,Medium,High,Low,Low,Low,Low
Mount Lavinia Station,6.834819,79.866422,9,1,1,1,1,10,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Kollupitiya,6.919718,79.851257,1,0,1,1,0,12,day,0,0,0,Low,High,Low,High,Low,Low,High
Polonnaruwa,7.941975,81.019028,11,0,1,1,0,8,day,5,1,1,Low,Low,Medium,Low,Low,Low,Low
Mirissa Beach,5.944493,80.462008,4,1,1,1,0,15,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kollupitiya,6.911423,79.849051,1,0,1,1,0,23,night,6,1,0,Low,Medium,Low,Low,Medium,Low,Low
Bentota Beach,6.428124,79.99857,4,1,1,1,0,4,night,2,0,0,High,Low,Low,Low,High,Medium,Low
Sigiriya,7.954542,80.755706,10,0,1,1,0,6,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Dambulla Cave,7.856945,80.648003,10,0,1,1,0,11,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Kandy Station,7.292375,80.632733,2,0,1,0,1,7,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.914785,79.849973,1,0,1,1,0,14,day,6,1,0,Low,High,Medium,High,Low,Low,High
Hikkaduwa Beach,6.140725,80.105753,4,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kalpitiya Beach,8.231471,79.766139,7,1,0,1,0,2,night,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Ahangama Beach,5.97377,80.364889,4,1,1,1,0,21,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Pettah Market,6.935871,79.8556,1,0,1,1,0,14,day,5,1,0,Low,High,Medium,High,Low,Low,High
Galle Fort Market,6.029346,80.215689,3,0,1,1,0,22,night,1,0,0,Low,Low,Low,Low,Medium,Low,Low
Pettah Station,6.93766,79.854093,1,0,1,0,1,15,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galkissa Beach,6.842424,79.867577,9,1,1,1,0,17,day,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Ahungalla Beach,6.325061,80.024275,4,1,1,1,0,13,day,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.854693,80.65142,10,0,1,1,0,15,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Kandy Station,7.294934,80.633536,2,0,1,0,1,4,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Colombo Fort Station,6.939472,79.848183,1,0,1,0,1,15,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Temple of Tooth,7.292704,80.641654,2,0,1,1,0,5,night,0,0,0,Low,Low,High,Low,Low,Low,Low
Kandy City Centre,7.296888,80.63553,2,0,1,1,0,14,day,3,0,0,Low,High,Low,High,Low,Low,High
Colombo Fort Station,6.932032,79.849248,1,0,1,0,1,14,day,5,1,0,Low,Medium,Low,High,Low,Low,Medium
Kaluthara Beach,6.586768,79.967195,4,1,1,1,0,4,night,6,1,0,High,Low,Low,Low,High,Medium,Low
Dambulla Cave,7.854769,80.651084,10,0,1,1,0,22,night,4,0,0,Low,Medium,Low,Low,Low,Low,Low
Kaluthara Beach,6.589985,79.962224,4,1,1,1,0,17,day,5,1,0,High,Low,Low,Low,Medium,Low,Low
Temple of Tooth,7.292705,80.638582,2,0,1,1,0,20,night,1,0,0,Low,Medium,Medium,Low,Low,Low,Low
Mount Lavinia Station,6.843381,79.863551,9,1,1,1,1,18,night,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Hikkaduwa Beach,6.140299,80.104148,4,1,1,1,0,16,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.842273,79.867505,9,1,1,1,1,17,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.921199,79.868046,1,0,1,0,1,18,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.919585,79.866327,1,0,1,0,1,1,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Pettah Market,6.938873,79.851248,1,0,1,1,0,17,day,1,0,0,Low,High,Low,Medium,Low,Low,Medium
Kollupitiya,6.91829,79.848171,1,0,1,1,0,13,day,0,0,0,Low,High,Low,High,Low,Low,High
Bandarawela Railway Station,6.829045,80.987745,18,0,1,0,1,21,night,3,0,0,Low,Low,Low,Low,Medium,Low,Low
Kollupitiya,6.919881,79.848801,1,0,1,1,0,19,night,4,0,0,Low,High,Low,Medium,Low,Low,Medium
Pettah Station,6.934923,79.858788,1,0,1,0,1,17,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Pettah Market,6.937045,79.85379,1,0,1,1,0,5,night,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Unawatuna Beach,6.012889,80.252566,4,1,1,1,0,17,day,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Bentota Beach,6.425752,79.995335,4,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ahungalla Beach,6.323627,80.028662,4,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Pettah Station,6.938821,79.852122,1,0,1,0,1,18,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Colombo Fort Station,6.938654,79.85463,1,0,1,0,1,8,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Polonnaruwa,7.940723,81.013495,11,0,1,1,0,9,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Ahungalla Beach,6.328241,80.021502,4,1,1,1,0,12,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Negombo Beach,7.206993,79.837206,5,1,1,1,0,14,day,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Colombo Fort Station,6.935298,79.853681,1,0,1,0,1,21,night,0,0,0,Low,Low,Low,Low,Medium,Low,Low
Sigiriya,7.9566,80.759089,10,0,1,1,0,9,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Pettah Market,6.943978,79.852987,1,0,1,1,0,5,night,3,0,0,Low,Medium,Low,Low,Low,Low,Medium
